p,q,m=p*q
13,11,143
13,13,169
17,13,221
17,17,289
29,19,551
37,19,703
29,29,841
53,17,901
43,37,1591
47,43,2021
67,59,3953
83,79,6557
89,83,7387
97,79,7663
101,79,7979
149,103,15347
233,163,37979
211,211,44521
269,173,46537
223,211,47053
223,223,49729
227,223,50621
439,131,57509
457,191,87287
367,251,92117
547,317,173399
563,431,242653
907,331,300217
769,421,323749
647,541,350027
809,557,450613
823,797,655931
1543,541,834763
1889,499,942611
1949,563,1097287
1249,1061,1325189
1657,877,1453189
1361,1129,1536569
1973,907,1789511
1597,1277,2039369
1787,1249,2231963
2011,1297,2608267
2447,1193,2919271
2267,1823,4132741
2539,1831,4648909
2503,2011,5033533
2927,1861,5447147
3371,2579,8693809
3691,2833,10456603
3407,3163,10776341
5477,2437,13347449
4583,4507,20655581
5737,4201,24101137
9803,4679,45868237
11579,7699,89146721
11117,10501,116739617
13901,9923,137939623
20219,6959,140704021
18251,7717,140842967
13093,11027,144376511
16067,10391,166952197
15121,11047,167041687
13337,12799,170700263
23011,10453,240533983
16619,15121,251295899
24859,13063,324733117
20011,16729,334764019
22381,19979,447149999
22961,21799,500526839
42767,25639,1096503113
45869,25793,1183099117
41579,34537,1436013923
56369,33577,1892701913
112543,41941,4720165963
77849,61637,4798378813
113341,69593,7887740213
202877,61253,12426824881
240173,66221,15904496233
177383,107339,19040113837
232103,120223,27904118969
197831,170627,33755310037
270701,184823,50031770923
286397,176641,50589452477
273233,188767,51577373711
449543,142007,63838252801
430979,223103,96152707837
499549,196699,98260788751
353443,327619,115794642217
396413,329947,130795280111
372611,360049,134158217939
533671,414157,221023580347
633833,541141,342993023453
696349,536219,373395564431
671189,607363,407655364607
794993,781453,621249664829
894503,747407,668557803721
1373639,495679,680884005881
1613173,494167,797176861891
1179317,819691,966675531047
