biprime,n_qubits,depth,n_gates,n_cnot,n_u3
49,19,1003,1813,1048,765
55,19,1003,1813,1048,765
65,26,1911,3627,2122,1505
77,26,1911,3627,2122,1505
91,26,1911,3627,2122,1505
95,26,1911,3627,2122,1505
119,26,1911,3627,2122,1505
121,26,1911,3627,2122,1505
133,33,2406,4902,2838,2064
143,33,2408,4902,2838,2064
169,33,2406,4902,2838,2064
187,33,2406,4902,2838,2064
209,33,2406,4902,2838,2064
221,33,2406,4902,2838,2064
247,33,2406,4902,2838,2064
253,33,2406,4902,2838,2064
289,42,3920,8163,4766,3397
299,42,3920,8163,4766,3397
319,42,3911,8163,4766,3397
323,42,3920,8163,4766,3397
341,42,3920,8163,4766,3397
361,42,3920,8163,4766,3397
377,42,3908,8163,4766,3397
391,42,3920,8163,4766,3397
403,42,3920,8163,4766,3397
407,42,3920,8163,4766,3397
481,42,3920,8163,4766,3397
493,42,3920,8163,4766,3397
527,51,4664,10305,5964,4341
529,51,4664,10305,5964,4341
533,51,4664,10305,5964,4341
611,51,4664,10305,5964,4341
629,51,4652,10305,5964,4341
667,51,4664,10305,5964,4341
697,51,4652,10305,5964,4341
703,51,4656,10305,5964,4341
841,51,4664,10305,5964,4341
893,51,4664,10305,5964,4341
943,51,4664,10305,5964,4341
