p, q, m=p*q
3,3,9
5,3,15
5,5,25
7,3,21
7,5,35
7,7,49
11,3,33
11,5,55
11,7,77
11,11,121
13,3,39
13,5,65
13,7,91
13,11,143
13,13,169
17,3,51
17,5,85
17,7,119
17,11,187
17,13,221
17,17,289
19,3,57
19,5,95
19,7,133
19,11,209
19,13,247
19,17,323
19,19,361
23,3,69
23,5,115
23,7,161
23,11,253
23,13,299
23,17,391
23,19,437
23,23,529
29,3,87
29,5,145
29,7,203
29,11,319
29,13,377
29,17,493
29,19,551
29,23,667
29,29,841
31,3,93
31,5,155
31,7,217
31,11,341
31,13,403
31,17,527
31,19,589
31,23,713
31,29,899
31,31,961
