m,unknowns,carry_bits
25,10,6
15,6,3
10,6,3
15,6,3
21,9,6
35,14,10
55,15,10
49,14,10
55,15,10
55,15,10
221,28,21
221,28,21
187,28,21
187,28,21
133,27,21
391,36,28
221,28,21
481,36,28
1147,54,45
493,36,28
851,45,36
1363,54,45
1961,55,45
1357,54,45
3127,65,55
2479,66,55
3599,65,55
1961,55,45
2449,65,55
5671,77,66
5893,78,66
10541,90,78
19939,104,91
10541,90,78
19291,104,91
16669,104,91
13261,91,78
17821,104,91
24257,104,91
82583,136,120
106529,136,120
121477,136,120
132317,152,136
117581,136,120
51959,119,105
118961,136,120
149833,153,136
146401,153,136
280123,170,153
727609,189,171
237449,153,136
387887,171,153
363053,170,153
533153,189,171
1825709,210,190
1316587,210,190
594851,189,171
1396361,209,190
1299643,209,190
2566741,231,210
6983791,253,231
4500241,252,231
7838161,253,231
3064069,230,210
5159003,252,231
3728437,230,210
4722307,253,231
8802839,275,253
21879413,300,276
46253117,324,300
19638623,300,276
24206141,299,276
29850391,300,276
16620367,276,253
62201651,325,300
140333723,377,351
86848381,350,325
139626533,377,351
78780157,350,325
296409713,406,378
324323393,406,378
191978497,378,351
424509031,405,378
1056897521,435,406
874530529,435,406
548239729,434,406
915881569,435,406
1488640957,465,435
1390154021,464,435
3844200121,495,465
1463277031,464,435
1873819979,465,435
5899959487,528,496
2070241001,465,435
2541141557,495,465
5574139007,527,496
6931874749,528,496
17078597743,561,528
9727211411,560,528
15362687831,561,528
