m,unknowns,carry_bits
25,4,2
15,1,0
15,1,0
21,0,0
35,0,0
55,4,2
49,4,2
55,4,2
55,4,2
221,12,7
221,12,7
187,6,4
187,6,4
133,12,8
391,13,8
221,12,7
481,16,10
1147,19,13
493,15,9
851,16,10
1363,17,11
1961,22,14
1357,19,12
3127,22,15
2479,14,10
3599,20,13
1961,22,14
2449,25,17
5671,24,16
5893,26,18
10541,30,20
19939,34,24
10541,30,20
19291,35,25
16669,38,27
13261,34,23
17821,38,27
24257,36,25
82583,40,29
106529,47,33
121477,46,32
132317,50,36
117581,47,33
51959,39,28
118961,46,32
149833,42,31
146401,36,27
280123,51,37
727609,58,42
237449,52,37
387887,47,34
363053,53,38
533153,58,42
1825709,61,43
1316587,55,40
594851,55,40
1396361,63,46
1299643,58,42
2566741,57,42
6983791,68,49
4500241,71,52
7838161,71,51
3064069,66,48
5159003,67,49
3728437,65,47
4722307,59,44
8802839,71,52
21879413,73,53
46253117,82,60
19638623,67,50
24206141,77,56
29850391,77,56
16620367,72,52
62201651,80,58
140333723,88,65
86848381,82,59
139626533,91,67
78780157,85,62
296409713,84,64
324323393,92,70
191978497,90,67
424509031,94,70
1056897521,103,76
874530529,106,79
548239729,102,76
915881569,103,76
1488640957,103,77
1390154021,103,76
3844200121,109,81
1463277031,101,75
1873819979,107,80
5899959487,111,84
2070241001,110,82
2541141557,111,83
5574139007,111,83
6931874749,118,88
17078597743,120,90
9727211411,121,92
15362687831,124,94
