p,q,m,unknowns,carry_bits
11,5,55,4,2
5,11,55,4,2
13,5,65,10,7
7,11,77,6,3
17,5,85,10,6
7,13,91,4,2
13,7,91,0,0
17,7,119,8,5
7,17,119,8,5
7,19,133,12,8
11,13,143,10,7
23,7,161,11,7
13,13,169,11,7
11,17,187,6,4
17,11,187,6,4
19,11,209,13,8
11,19,209,13,8
13,17,221,12,7
13,19,247,10,6
19,13,247,10,6
11,23,253,12,7
23,11,253,12,7
17,17,289,8,6
13,23,299,13,9
23,13,299,13,9
11,29,319,13,9
19,19,361,12,8
23,17,391,13,8
31,13,403,13,9
19,23,437,15,9
23,19,437,15,9
41,11,451,13,8
29,17,493,15,9
17,29,493,15,9
41,13,533,18,12
29,19,551,16,11
19,29,551,16,11
23,29,667,14,9
29,23,667,14,9
43,19,817,19,12
29,29,841,19,13
23,37,851,16,10
37,23,851,16,10
29,31,899,13,8
31,29,899,13,8
53,17,901,18,11
23,41,943,16,10
23,43,989,18,11
37,29,1073,22,15
29,37,1073,22,15
37,31,1147,19,13
41,29,1189,21,14
43,29,1247,19,13
31,43,1333,19,12
23,59,1357,19,12
47,29,1363,17,11
37,37,1369,19,13
37,41,1517,17,11
41,37,1517,17,11
29,53,1537,22,15
53,29,1537,22,15
71,23,1633,22,14
41,41,1681,23,15
43,41,1763,19,12
79,23,1817,22,14
53,37,1961,22,14
43,47,2021,21,13
71,29,2059,22,15
53,41,2173,24,16
41,53,2173,24,16
37,59,2183,23,16
47,47,2209,25,17
43,53,2279,22,15
31,79,2449,25,17
43,59,2537,25,17
59,43,2537,25,17
41,67,2747,19,13
37,79,2923,18,12
79,37,2923,18,12
103,29,2987,20,13
67,47,3149,25,16
61,53,3233,25,17
41,79,3239,23,15
79,41,3239,23,15
41,83,3403,23,15
73,47,3431,22,14
59,59,3481,26,18
97,37,3589,26,17
67,59,3953,25,16
113,37,4181,28,19
79,53,4187,26,18
71,59,4189,28,19
59,73,4307,26,18
79,59,4661,28,19
89,53,4717,27,18
71,67,4757,21,15
73,67,4891,19,14
73,71,5183,23,16
41,127,5207,24,16
127,41,5207,24,16
53,101,5353,26,17
59,97,5723,24,16
127,47,5969,27,18
73,83,6059,22,15
107,59,6313,29,20
71,89,6319,26,17
43,157,6751,28,19
149,47,7003,27,18
79,89,7031,27,18
97,79,7663,26,17
73,107,7811,28,19
79,101,7979,27,18
83,97,8051,27,18
127,67,8509,32,22
89,101,8989,33,23
127,71,9017,33,23
97,97,9409,34,24
89,107,9523,30,21
107,89,9523,30,21
109,89,9701,31,21
67,149,9983,22,16
127,79,10033,33,23
191,53,10123,30,21
83,127,10541,30,20
61,191,11651,28,19
89,131,11659,28,20
79,149,11771,26,18
127,97,12319,32,23
97,127,12319,32,23
131,97,12707,31,21
163,79,12877,34,23
197,67,13199,32,22
149,89,13261,34,23
137,97,13289,33,22
97,149,14453,34,23
157,97,15229,32,21
103,149,15347,30,20
211,73,15403,32,22
163,97,15811,33,23
127,127,16129,31,21
103,157,16171,30,20
