p,q,m=p*q
23,11,253
17,17,289
29,19,551
37,19,703
83,59,4897
113,97,10961
149,103,15347
191,127,24257
241,223,53743
359,349,125291
521,421,219341
509,431,219379
919,263,241697
1327,929,1232783
1861,907,1687927
1913,1567,2997671
4931,4861,23969591
9857,4133,40738981
8123,5581,45334463
8999,8329,74952671
21059,18199,383252741
30727,23251,714433477
66587,35933,2392670671
62969,40471,2548418399
94949,40277,3824260873
74453,57527,4283057731
97771,51307,5016336697
214211,184553,39533282683
254747,159977,40753660819
347257,333161,115692489377
582809,296287,172678730183
422537,417719,176501733103
579583,441169,255694052527
606379,548441,332563105139
1570837,1116461,1753778247857
2670331,2372893,6336409737583
4189057,2552107,10690921693099
3317417,3245927,10768093410559
4682479,2463883,11537080405957
6341177,2570563,16300394972651
6064897,4966123,30119024484331
9357571,4688897,43876686589187
13717969,11043551,151495090267919
14782949,13694743,202448687337107
21022997,14349253,301664302771241
24861461,16295893,405139708279673
51293783,17621507,903873756190981
97659307,36066661,3522245119063927
162577931,97256773,15811804930076663
196205797,116909861,22938392454664217
230384621,229787513,52939509093037573
383495963,284563073,109128789714374299
399491423,392709203,156883958331665869
493358219,349885091,172618685350412929
542204543,357451463,193811807140596409
776202767,398626499,309414991523322733
654311423,548530739,358909928394331597
732045367,571674287,418491513231378329
1259663521,373401001,470359619664584521
2111917889,1572250187,3320463295908895243
2742297991,1513180027,4149590548063425757
2646359549,1983461483,5248952235610751167
6302388371,3705970663,23356466409758359973
5538697579,5060931217,28030967479083423643
14386471487,9941691401,143025859873039583287
17172792053,12500410189,214666944752899428017
34442884613,23411055433,806344280947365752429
36353986703,30144859139,1095885808303014028717
59310027331,47652604837,2826277295275812800047
61182397343,52019578073,3182682495277496260039
81899984759,59361287507,4861688542097917105813
267946897847,185099231129,49596764774880405479263
645747875387,446764689563,288497349083239863485881
1270463024771,934609463971,1187386766576199605025641
2187631066099,1644372495461,3597280355309220468476639
2253238384861,1855200660119,4180209338999596576058459
3251261128009,1862554507897,6055651070323448118387073
4943414863979,4499512724723,22242958084058328715452817
6359423991527,4539093112153,28866017637200743932727631
8186762569499,4546896416707,37224361391685995152219793
15333057724291,7450225031213,114234730462546646223294983
13600713318191,13202659530457,179565587311427854496643287
26983874595331,10389905612473,280359910104297158581163563
55002913774463,31695239041871,1743330500081023884307540273
46850344031251,37602966705091,1761711926729190213804798841
53230150840813,50778325096123,2702937904310467567496467999
70626716459561,53394629511623,3771087358980705653058977503
110402987248921,47512884432659,5245564374178308658294910939
142737204271499,68308307190917,9750136796950223870094774583
160308623955143,139696941059959,22394624392064743101289419137
254245208105167,121020806755841,30768960198693995444019530447
435834435648739,220622468770993,96154869168237278311980227827
1474109239419343,637131292465153,939201124946069670424781654479
