Biprime,Number of Qubits,Number of CNOTs,Log2(Biprime),Log2(Number of Qubits),Log2(Number of CNOTs)
55,7,33,5.78135971352466,2.807354922057604,5.044394119358453
65,14,113,6.022367813028454,3.807354922057604,6.820178962415188
77,14,115,6.266786540694901,3.807354922057604,6.845490050944375
85,13,103,6.409390936137702,3.700439718141092,6.6865005271832185
91,11,82,6.507794640198696,3.4594316186372973,6.357552004618084
119,11,84,6.894817763307944,3.4594316186372973,6.392317422778761
121,14,111,6.918863237274595,3.807354922057604,6.794415866350106
133,17,149,7.05528243550119,4.087462841250339,7.219168520462161
143,14,117,7.159871336778389,3.807354922057604,6.870364719583405
161,17,147,7.330916878114617,4.087462841250339,7.199672344836364
169,17,146,7.400879436282184,4.087462841250339,7.189824558880018
187,14,115,7.546894459887636,3.807354922057604,6.845490050944375
209,17,146,7.7073591320808825,4.087462841250339,7.189824558880018
221,16,136,7.787902559391432,4.0,7.087462841250339
247,14,118,7.948367231584678,3.807354922057604,6.882643049361842
253,16,136,7.98299357469431,4.0,7.087462841250339
289,21,231,8.174925682500678,4.392317422778761,7.851749041416057
299,18,199,8.224001674198105,4.169925001442312,7.636624620543649
319,18,204,8.31741261376487,4.169925001442312,7.672425341971495
323,18,181,8.335390354693924,4.169925001442312,7.499845887083206
377,21,229,8.558420713268664,4.392317422778761,7.839203788096944
391,19,220,8.611024797307353,4.247927513443585,7.78135971352466
407,19,220,8.668884984266247,4.247927513443585,7.78135971352466
437,21,233,8.7714894695006,4.392317422778761,7.864186144654281
493,21,233,8.945443836377912,4.392317422778761,7.864186144654281
529,24,273,9.047123912114026,4.584962500721156,8.092757140919852
629,24,276,9.296916206879288,4.584962500721156,8.108524456778168
667,21,243,9.381542951184585,4.392317422778761,7.924812503605781
703,21,247,9.457380879072534,4.392317422778761,7.948367231584678
713,24,273,9.477758266443889,4.584962500721156,8.092757140919852
799,21,247,9.642051692927977,4.392317422778761,7.948367231584678
841,24,273,9.715961990255144,4.584962500721156,8.092757140919852
851,21,221,9.733015321685963,4.392317422778761,7.787902559391432
899,21,224,9.812177305514448,4.392317422778761,7.807354922057604
901,24,276,9.815383295813538,4.584962500721156,8.108524456778168
943,21,247,9.881113960675096,4.392317422778761,7.948367231584678
