m,n_m,variant,reps,n_qubits,multiplier,shots,error_rate,seed,success_noisy,success_ideal,angles
15,4,uniform,1,17,hrs,256,-1.0,0,,0.054439,"[2.81389078, 1.05313005]"
15,4,uniform,1,17,hrs,256,0.0001,0,0.03125,0.054439,"[2.81389078, 1.05313005]"
15,4,uniform,1,17,hrs,256,0.01,0,0.015625,0.054439,"[2.81389078, 1.05313005]"
15,4,uniform,1,17,hrs,256,0.1,0,0.011719,0.054439,"[2.81389078, 1.05313005]"
15,4,uniform,1,17,hrs,256,-1.0,1,,0.054439,"[2.81383406, 4.19468841]"
15,4,uniform,1,17,hrs,256,0.0001,1,0.039062,0.054439,"[2.81383406, 4.19468841]"
15,4,uniform,1,17,hrs,256,0.01,1,0.011719,0.054439,"[2.81383406, 4.19468841]"
15,4,uniform,1,17,hrs,256,0.1,1,0.003906,0.054439,"[2.81383406, 4.19468841]"
15,4,uniform,1,17,hrs,256,-1.0,2,,0.093386,"[2.76113263, 2.66516615]"
15,4,uniform,1,17,hrs,256,0.0001,2,0.0625,0.093386,"[2.76113263, 2.66516615]"
15,4,uniform,1,17,hrs,256,0.01,2,0.011719,0.093386,"[2.76113263, 2.66516615]"
15,4,uniform,1,17,hrs,256,0.1,2,0.015625,0.093386,"[2.76113263, 2.66516615]"
15,4,uniform,1,17,hrs,256,-1.0,3,,0.093386,"[0.38047938, 0.47643451]"
15,4,uniform,1,17,hrs,256,0.0001,3,0.082031,0.093386,"[0.38047938, 0.47643451]"
15,4,uniform,1,17,hrs,256,0.01,3,0.023438,0.093386,"[0.38047938, 0.47643451]"
15,4,uniform,1,17,hrs,256,0.1,3,0.011719,0.093386,"[0.38047938, 0.47643451]"
15,4,uniform,1,17,hrs,256,-1.0,4,,0.093386,"[2.76113369, 2.6652472]"
15,4,uniform,1,17,hrs,256,0.0001,4,0.066406,0.093386,"[2.76113369, 2.6652472]"
15,4,uniform,1,17,hrs,256,0.01,4,0.015625,0.093386,"[2.76113369, 2.6652472]"
15,4,uniform,1,17,hrs,256,0.1,4,0.015625,0.093386,"[2.76113369, 2.6652472]"
15,4,reduced,1,17,hrs,256,-1.0,0,,0.224083,"[2.0363593, 0.45735543]"
15,4,reduced,1,17,hrs,256,0.0001,0,0.15625,0.224083,"[2.0363593, 0.45735543]"
15,4,reduced,1,17,hrs,256,0.01,0,0.003906,0.224083,"[2.0363593, 0.45735543]"
15,4,reduced,1,17,hrs,256,0.1,0,0.007812,0.224083,"[2.0363593, 0.45735543]"
15,4,reduced,1,17,hrs,256,-1.0,1,,0.224083,"[2.03631566, 3.598941]"
15,4,reduced,1,17,hrs,256,0.0001,1,0.15625,0.224083,"[2.03631566, 3.598941]"
15,4,reduced,1,17,hrs,256,0.01,1,0.019531,0.224083,"[2.03631566, 3.598941]"
15,4,reduced,1,17,hrs,256,0.1,1,0.019531,0.224083,"[2.03631566, 3.598941]"
15,4,reduced,1,17,hrs,256,-1.0,2,,0.224083,"[2.03621636, 0.45739654]"
15,4,reduced,1,17,hrs,256,0.0001,2,0.140625,0.224083,"[2.03621636, 0.45739654]"
15,4,reduced,1,17,hrs,256,0.01,2,0.015625,0.224083,"[2.03621636, 0.45739654]"
15,4,reduced,1,17,hrs,256,0.1,2,0.015625,0.224083,"[2.03621636, 0.45739654]"
15,4,reduced,1,17,hrs,256,-1.0,3,,0.224083,"[2.03625674, 0.457361]"
15,4,reduced,1,17,hrs,256,0.0001,3,0.164062,0.224083,"[2.03625674, 0.457361]"
