m,n_m,multiplier,variant,reps,seed,success_prob,n_qubits,n_search_qubits,search_space_size,reduction_ratio,depth,cnot_count,u3_count,n_seeds,opt_seconds
15,4,mcx,uniform,1,0,0.054439,12,6,6.0,1.0,2324,1392,1602,5,24.4
15,4,mcx,uniform,1,1,0.054439,12,6,6.0,1.0,2324,1392,1602,5,24.4
15,4,mcx,uniform,1,2,0.093386,12,6,6.0,1.0,2324,1392,1602,5,24.4
15,4,mcx,uniform,1,3,0.093386,12,6,6.0,1.0,2324,1392,1602,5,24.4
15,4,mcx,uniform,1,4,0.093386,12,6,6.0,1.0,2324,1392,1602,5,24.4
15,4,mcx,uniform,2,0,0.131198,12,6,6.0,1.0,4647,2784,3195,5,190.0
15,4,mcx,uniform,2,1,0.092112,12,6,6.0,1.0,4647,2784,3195,5,190.0
15,4,mcx,uniform,2,2,0.098841,12,6,6.0,1.0,4647,2784,3195,5,190.0
15,4,mcx,uniform,2,3,0.037717,12,6,6.0,1.0,4647,2784,3195,5,190.0
15,4,mcx,uniform,2,4,0.078376,12,6,6.0,1.0,4647,2784,3195,5,190.0
15,4,mcx,uniform,3,0,0.159002,12,6,6.0,1.0,6970,4176,4788,5,303.1
15,4,mcx,uniform,3,1,0.196364,12,6,6.0,1.0,6970,4176,4788,5,303.1
15,4,mcx,uniform,3,2,0.17378,12,6,6.0,1.0,6970,4176,4788,5,303.1
15,4,mcx,uniform,3,3,0.074036,12,6,6.0,1.0,6970,4176,4788,5,303.1
15,4,mcx,uniform,3,4,0.097529,12,6,6.0,1.0,6970,4176,4788,5,303.1
15,4,mcx,uniform,4,0,0.171579,12,6,6.0,1.0,9293,5568,6381,5,419.5
15,4,mcx,uniform,4,1,0.142486,12,6,6.0,1.0,9293,5568,6381,5,419.5
15,4,mcx,uniform,4,2,0.073431,12,6,6.0,1.0,9293,5568,6381,5,419.5
15,4,mcx,uniform,4,3,0.194888,12,6,6.0,1.0,9293,5568,6381,5,419.5
15,4,mcx,uniform,4,4,0.232569,12,6,6.0,1.0,9293,5568,6381,5,419.5
15,4,mcx,uniform,5,0,0.18886,12,6,6.0,1.0,11616,6960,7974,5,578.5
15,4,mcx,uniform,5,1,0.18727,12,6,6.0,1.0,11616,6960,7974,5,578.5
15,4,mcx,uniform,5,2,0.177431,12,6,6.0,1.0,11616,6960,7974,5,578.5
15,4,mcx,uniform,5,3,0.145921,12,6,6.0,1.0,11616,6960,7974,5,578.5
15,4,mcx,uniform,5,4,0.137829,12,6,6.0,1.0,11616,6960,7974,5,578.5
15,4,mcx,reduced,1,0,0.224083,12,6,4.0,0.6667,2437,1470,1683,5,36.1
15,4,mcx,reduced,1,1,0.224083,12,6,4.0,0.6667,2437,1470,1683,5,36.1
15,4,mcx,reduced,1,2,0.224083,12,6,4.0,0.6667,2437,1470,1683,5,36.1
15,4,mcx,reduced,1,3,0.224083,12,6,4.0,0.6667,2437,1470,1683,5,36.1
15,4,mcx,reduced,1,4,0.224083,12,6,4.0,0.6667,2437,1470,1683,5,36.1
15,4,mcx,reduced,2,0,0.366267,12,6,4.0,0.6667,4873,2940,3357,5,200.6
15,4,mcx,reduced,2,1,0.366305,12,6,4.0,0.6667,4873,2940,3357,5,200.6
15,4,mcx,reduced,2,2,0.301212,12,6,4.0,0.6667,4873,2940,3357,5,200.6
15,4,mcx,reduced,2,3,0.366305,12,6,4.0,0.6667,4873,2940,3357,5,200.6
15,4,mcx,reduced,2,4,0.34755,12,6,4.0,0.6667,4873,2940,3357,5,200.6
15,4,mcx,reduced,3,0,0.432574,12,6,4.0,0.6667,7309,4410,5031,5,346.5
15,4,mcx,reduced,3,1,0.420052,12,6,4.0,0.6667,7309,4410,5031,5,346.5
15,4,mcx,reduced,3,2,0.434116,12,6,4.0,0.6667,7309,4410,5031,5,346.5
15,4,mcx,reduced,3,3,0.398221,12,6,4.0,0.6667,7309,4410,5031,5,346.5
15,4,mcx,reduced,3,4,0.441136,12,6,4.0,0.6667,7309,4410,5031,5,346.5
15,4,mcx,reduced,4,0,0.409931,12,6,4.0,0.6667,9745,5880,6705,5,494.4
15,4,mcx,reduced,4,1,0.439996,12,6,4.0,0.6667,9745,5880,6705,5,494.4
